,content,sentiment
0,@chitaglorya__ @BTC_NFT @CryptoZillaVC @Block_Flash @BitcoinQueen96 @rhenz_625 @ErenSollar @alexcopilla thank you for this huge opportunity  to win🙏🙏🍀 https://t.co/uRq6k4qV7Q,1.0
1,"@yvtweets I'm working this myself...great project lots of potential holders 

#bitcoin",1.0
2,At least 50 bitcoins @ZentralratJuden,1.0
3,"Show me your bank interest 🏦
Earnings by https://t.co/4cyaM8ToLh 📢  🤑
#passiveincome
#btc
#cryptocurrecy https://t.co/FDyJylQrKW",1.0
4,Here we are with the Fax with Max Tik Tok page! Go give them a follow! #follow #retweet #MilanInter #navination #BiggBoss15 #BillsMafia #BITCOIN #Eternals #cryptocurrency #Chiefs #LFC #HappyVirus #FlyEaglesFly @barstoolsports @truTVjokers @stoolpresidente https://t.co/Ey1cWiOqjk,0.0
5,It would be soo dope if a blue check #NFT twitter profile follows me😭 #BTC #TRX #ETH #nftart,0.0
6,Forex just got better just slide me my DM📉📉 #forex #forexsignals #cryptocurrencies #bitcoins #investments https://t.co/VslEsCX13x,1.0
7,"We wish all HBN-Stakers a good day! We are grateful to have you onboard 
 😽 😜 🤪  #BTC #CryptoWhale",1.0
8,"#FARM : SHORT TERM SIGNAL:

Buy within 6mins max: 

Perfect to BUY under 2242

Target1: 2257 Target2: 2290

Let's GO!

You can see how it is going so up!

#BTC #Bitcoin #Crypto #BTC #биткойн #比特币 #비트코인

To Subscribe to our PREMIUM SIGNALS channel, PM ME! https://t.co/FnFW6spt7l",1.0
9,"People will throw stones at you. Don't throw them back. Collect them all and build an empire 💖
#Binance 
#BinanceNFT 
#bitcoinnews",1.0
10,"HODL
BTC https://t.co/FPpN5lyS7c https://t.co/hgUoIp55BO",0.0
11,"@ericyakes You may not like it but, the war will be won with memes. #Bitcoin",0.0
12,"Hey Shill me your💎#gem ×100 coin🚀the winner from the last post #METIS

I will promote a project tomorrow that 1️⃣More comments here &amp;🔝POST
2️⃣follow @MetisDAO

COM, LIKE, RETWEET 

#BTC #BSC #Binance #BNB #Solana #Airdrop #NFTshill #NFTCommunity #NFT #nftart #shill #ETH",0.0
13,"Sell me on how this is a good indicator of the strength of the #Dollar ....

Nobody at the Fed cares about it.  They only look at other drunk on spending FIAT currencies.

#Bitcoin https://t.co/r8xdDS22If",1.0
14,"Unique, modern, win-win trading strategies,
developed directly by the traders of the company

https://t.co/DpJaSzBGP8 

#btc #eth
#Gnosis",0.0
15,@BTC_Archive @intocryptoverse @jasonpooley Hahahahah,0.0
16,"@business The biggest lie we keep hearing: BTC has limited supply of 21 M. pieces. Actually being infinitely divisible, it has infinite supply and from this perspective is a classical pyramid.",0.0
17,"@ChuloBillonario Shiba the next btc; 

$LBR the next shiba; 

$LBR the next btc",0.0
18,"Crypto news 👀 bitcoin futures, DAO rug pull 🤡 and crypto in 2022… 

#Crypto #CryptoNews #bitcoin https://t.co/K51BvoywqW",0.0
19,Hey I joined a network called SurveyJ and earned $462 today! You get paid for testing out new free apps and posting on social media. Sign up with my link for an instant $40 signup bonus! https://t.co/ILp9M3LTGs #surveyj #cashapp #bitcoin,0.0
20,"-=[ 716051 ]=-

Txs: 1136
Time: 27/12/2021, 23:55:25 WET
Version: 0x20000000

Size: 1477.072 KB
Weight: 3993.571 KWU

Reward: 6.33922766 BTC
MedianFee: 11.12 sats

Coinbase ScriptSig:
binance/790;X&lt;mm&gt;/+H""-`^/Dwq

Mempool: 10861 txs",0.0
21,"#market dynamics are changed, and many #traditional #Trader can’t wrap their head around. 
Big boys used to dump, and markets used to tank years ago, but these days, the dumps are eaten up by #Retail hence we will not see a massive correction. #bitcoins #dow #NYSE #btc #Cryptos",1.0
22,soon frens soon. #aLTZN #btc https://t.co/uS2B8VxBeM,0.0
23,"In #Bitcoin parlance, the #PandoraPapers is on-chain analysis of an opaque monetary system. 

It was designed not to be transparent.

#Bitcoin on-chain transactions are 100% readable 24/7. https://t.co/rKusRYq929",1.0
24,"Here's how #FBI tracked a Sony employee who stole $154 million worth of #Bitcoins.
https://t.co/1ytBg1zRkM",0.0
25,The latest U-Rock™ - The New Media Magazine! https://t.co/UcWeWYMbLB Thanks to @johnmorganFL @AnalogLLHQ @inn_concept #crypto #bitcoin,0.0
26,"@sewekolpbb @Breizzher @Matt_1906 @wshcju @mllbrgy @mavididiBO @yanmar2504 @youx2lebrestois @mmrhn_ @mrn_brdy Est-ce que vous connaissez metmask, que I need a logo et que my account has been hacked, I can pay trust wallet BTC ?",0.0
27,One day ill wake up and I'll be able to make this happen!!💔💯 #Bitcoin @BitcoinMagazine @BTCTN @coinbase @CashApp https://t.co/Zb0rUIGgWb,1.0
28,"Top 5 Mentions Updated Every 15 Minutes

 [BETA STAGE] Except $BTC and $ETH

 1- $FTM:613339 point 🚀

 2- $LUNA:367736 point 🚀

 3- $STX:354906 point 🚀

 4- $SOL:144063 point 🚀

 5- $XTZ:132079 point 🚀",0.0
29,@DocOck222 @GiacomoMontagn1 @BTC_Archive Exactly! Now he suffers from an illness.. I hope he gets better and beats it once again with the same passion!,0.0
30,$Forth moves when $Btc  moves. Whales 🐋 evolved in Forth. https://t.co/cM5FyaHIM4,0.0
31,"Bitcasino

Over 2000 games &amp; loyalty club with up to 10% cash rebate!

#BTC

https://t.co/l7H6aTtVAJ https://t.co/ZynTowIt5V",0.0
32,"NFT news.

Messy NFT drop angers infosec pioneers with unauthorized portraits - The Verge 

 https://t.co/ORcGEL2ysG

#NFT #BTC #bitcoin #money",-1.0
33,@GovernorSunKing @TheEricNorris It should be significantly higher than that because illiquid supply would continue to HODL a significant portion of all issued #BTC so the additional 200% of new buyers would be buying from a smaller pool of liquid supply.,1.0
34,"@Jayecane been following for a bit and been active, would be nice to win
BTC: bc1qdu66sllcuu9qn4j0yw3xg2f6n7hl5qmucfptkz",1.0
35,"🚨I don't see this often so I figured I might share with the #XRPArmy &amp; #XRPHolders 

I was scrolling through @Twitter and noticed that there is a #BTC account I follow talking about #XRP.

I have NEVER seen this account tweet anything other than #BTC 👀

🚀🚀🚀🚀",0.0
36,"@mdudas Well said. 

My entire family is now SERIOUSLY curious. One is 94 and on the other end one is 20 (just bought #Bitcoin to learn). 

The bigger vision is what’s attracting people. I don’t really pitch family, they’re my “normie” case study. 

And they’ve arrived.",-1.0
37,Blockchain based Funds Transfer Service Almond Finance Raises $2 Million Seed Round - Crowdfund Insider https://t.co/DPl5N6mUWz #blockchain #bitcoin #technology,0.0
38,Yo chill out @Bitcoin,0.0
39,"hey guys. here is some nft which probably cost nothing but if you will buy it. you will support me good to create nice nfts. thanks for the person who will buy it!

https://t.co/eVzO9bIa64

#opensea #DAO #BTC #Immutablex #Binance",1.0
40,@BTC_Archive @100trillionUSD Alot of people in here not realizing the sarcasm.,0.0
41,Late longers start to get warm 🤣🤣🤣 $btc #btc https://t.co/TrKZxNZbea,1.0
42,"Consensus Line Move:
2021-12-26 Detroit Pistons at San Antonio Spurs from -10.50 to -11.50
#PorVida snake in the weeds
#NBA #vegas #data #bitcoins",0.0
43,"$SOL SOL/USD(#CoinbasePro)
Buy Signal @ $196.68
RSI Indicator - Bottomed Below 30
Short Term Bear run
Ex Vol: 652,059
#PanicBuying

 #bitcoinnews #forexlife #Solana

Don't make a mistake, protect your stake. Get AVP! @ https://t.co/7ugd2ocvPX",-1.0
44,"@BTC_Archive Please

Check:  rWabmmUx5zptt5tRq8wbTQkbNKfoMn7ij

I'm aerly brid but dont recieve AD",0.0
45,@madmunk ere I would’ve bet bitcoins on Christian Ronald scoring at least a brace of hat tricks against the gordys. But the red united have lost a wicket,0.0
46,Love free #Bitcoin Thanks @obj @CashApp #OBJBTC https://t.co/clP6xqfNa1,1.0
47,@SportsLine And love @Mike5754 and @JustinPerri8 ! Been a member since TN became a legal wagering state and never miss the early edge! Thanks fellas!! You cool too @TheCoachrules but up that #Bitcoin game 🤣🤣💰💰,1.0
48,One day BTC ATMs machines will be everywhere.  $SANP https://t.co/CHE8IZyxlb,1.0
49,"569,990 #HT (5,655,991 USD)
🔻 Wallet to #Huobi
https://t.co/j4NkZX4NHC

#BTC  50,778.34    #ETH  4,042.27
#BNB  564.50    #SOL  196.25
F&amp;G Index:  40  (+3)
Trends:  $FTM $STX $RVN $CAKE $KSM
#Bitcoin #NFT $DOT $UNI #Omicron",0.0
50,"@BasicBoredApe Just saw my ASTERIX ""CRAZY"" APE! How cool is this? Some Magic BASIC potion and...TO THE MOON!!!! @deezy_BTC @NFT_Justin @Bitboy_Crypto https://t.co/tTrpIVcYew",0.0
51,@Bitcoin Time to buy more,1.0
52,"Why are we using Web 2.0 to talk about Web 3.0?  
Me included…

#Crypto #Metaverse #Ethereum #Blockchain #PlayToEarn #Bitcoin #nftworlds #opensea #nft #nfts #NFTCommunity #blockchaintechnology",0.0
53,"#PolkaCity #Metaverse 
#AxieInfinity  #bitcoin
@doc_tickle 
Team tickle https://t.co/0UoZgVMI2w",0.0
54,@ipseitR @CryptopepperP @Jimmy_Wojeca @cryptocoldbet @lyfREimagynd @Crypt0_Rick @Flamingo_Mafia @ShillMe @ReserveCommmune @DiamondAtlasC @RangerNationRSR @sweetsinner3 @Deckard_BTC @RaccoonSRanger @RsrErnie @RsrFren @SMallinson @smeddysays @Gordi_RSR @holareserve In this game since 2020,0.0
55,"@cartony9 @BCBacker Xrp is always doubtful, I don't count how many times btc etc ve passed through this fib level while we still could not exceed old ath",-1.0
56,"Yes, I'm going out. Merry Christmas, friends #bitcoin  #BTC  #Ethereum https://t.co/LCFX3BJzkC",0.0
57,"Join @zapprotocol Founder, Bitcoin &amp; Blockchain Pioneer @spanosnick, Nov. 15th at @aibcsummit Blockchain Conference in Malta. https://t.co/OqYRd7PRMd

#Zap #Malta #aibc #blockchain #cryptocurrency #bitcoin #btc #finance #digitalcurrency #fintech #innovation #monetaryrevolution https://t.co/BO4tIchqJb",1.0
58,"My Crypto Strategy on ICONOMI just outperformed BTC.
Check it out here:
https://t.co/ddRICrX6ml
#bitcoinmining #bitcoinnews #btc #bitcoin https://t.co/TVC1tVox6T",0.0
59,"@ELDEAN_BTC Lemaooooo 😂 …Na joke, I dey joke",0.0
60,Peyton Manning throws dimes in virtual reality QB simulator https://t.co/cnAWaKLaJX  ▶️ https://t.co/NKkDBVS66N #Bitcoin #Sportsbook,0.0
61,"A new nft available in opensea

Link: https://t.co/vreJD00gge
#nft #opensea #nftartwork #nftphotography #bitcoins #nftdrop
https://t.co/UzHeIQUDBl",0.0
62,"CryptoHeartBeat has a new video! @CryptoHartbeat

""PulseX Hype Breakdown with K4K Crypto!"" #HEX #Pulsechain #Crypto #BTC #ETH #DeFi #PassiveIncome

https://t.co/dOtNLZEbM8",0.0
63,@Sabya1978 @saylor Thanks BTC,1.0
64,"@FlokinuOfficial took people for a ride.
Burj Khalifa is not happening.
US ad campaign that was ""delayed""  2-3 weeks? It's almost end of December.
You know what's also not happening? Valhalla metaverse game. 
#floki #shib #doge #SAFEMOON #cryptocurrency #eth #btc #FEG #saitama",-1.0
65,This Year’s Top 10 Crypto Asset Gainers Outshined BTC’s and ETH’s 12-Month Returns – Markets and Prices Bitcoin News https://t.co/k03FSahKov,-1.0
66,"Jack Dorsey and Jay-Z Created ₿trust, Here’s How its Board Plans to Deploy the 500 Bitcoins - Blockworks https://t.co/THKDI2PMIE",1.0
67,"$BTC Price: $50839
$ETH Price: $4049
$LTC Price: $156

Next update in 10 minutes
Last updated: 18:57:56.04",0.0
68,"💲💲💲 FREE Bitcoins. 💲💲💲

Sign Up Bonus. Sign up Today and get 1000 GH/s for FREE. Up to 12% daily Earnings. [December 27, 2021 at 10:01PM]

💰 Simple. Secure. Super Fast. 💰

👉 https://t.co/LOn8IlLncL",1.0
69,Viumu improves Helium setup with a 10 meters antenna 📡🌎🏙 Hit us up for support or services regarding your Helium setup ✅ #helium #bobcat #rak #miner #mining #crypto #iot #blockchain #btc #eth #nft #viumu #switzerland #zurich https://t.co/KSLeGCPPh6,1.0
70,Hey #Bitcoin wake up - GM,0.0
71,"SEC Rejects Kryptoin Spot Bitcoin ETF Proposal

The decision follows about five weeks after the agency rejected VanEck’s application for a spot bitcoin ETF....

 https://t.co/RjnnKvCADK 

#Bitcoin #bitcoins #Crypto #cryptocurrencies #cryptotrading #CryptoNews #SEC #Krypto #ETFs https://t.co/RrtQR8iTbw",-1.0
72,"Top 5 #crypto prices with 24h change:

#BTC #ETH #BNB #SOL #ADA 

🔴 $BTC $50692.43 (-0.16%)
🔴 $ETH $4037.48 (-0.82%)
🟢 $BNB $563.2 (2.92%)
🔴 $SOL $195.56 (-1.23%)
🟢 $ADA $1.515 (4.20%)

Do you #hodl any of these coins?",-1.0
73,"#Bitcoin supply audit!
Total #Bitcoins mined till date: 18912581.29247566
Total Supply: 20,999,999.9769
#Bitcoin supply remaining:2087418.6844243407
Percentage in circulation:90.0599%
#Bitcoin #BTC #blockchain #mining #analysis",0.0
74,"Earn Money while watching Videos. Ist's real, no scam. 
#earnmoney #Earnings #MONEY #Dollar #Bitcoin #Visa
My Referat Code:
https://t.co/sKGhQuBQfx",0.0
75,#cryptocurrencies #bitcoins #Binance #free #earn Sign up for Coinbase and get $10 free!! https://t.co/1neaQhYYHd,1.0
76,@Ludacris 5 bitcoins in 2009.,0.0
77,"@jablamsky Mr $btc, Jack does that apply to $SQ? Square is all in for $btc.",0.0
78,"Hot Stories This Week 🔥

Read more 👇
1️⃣ https://t.co/NXdmpO5Ncf
2️⃣ https://t.co/I72112gbT3
3️⃣ https://t.co/yXhLqEzZxs

#CryptoNews #Cryptocurrency #CryptocurrencyNews #bitcoinnews @Cointelegraph https://t.co/fp7ynoSikA",0.0
79,"CryptoTab Browser and start using it. It doesn’t matter what you do: browse the Internet, check social media networks, use streaming services; it works all the time and you get your Bitcoins. As simple as that! Check it out! https://t.co/IyHxEpRjuN #cryptotab",1.0
80,"Join Celsius Network using my referral code 193006c82e when signing up and earn $50 in BTC with your first transfer of $400 or more! #UnbankYourself 
 
https://t.co/weM8uQvoB9

Free sats!!!",1.0
81,@cz_binance #quack loves #Bitcoin https://t.co/C2YFIQjNSh,1.0
82,Pensioners of the National Oil Company Will Receive 2 Petros as a Gift in Venezuela – Bitcoin News https://t.co/h73rsZZ8WE,1.0
