,content,sentiment
0,@chitaglorya__ @BTC_NFT @CryptoZillaVC @Block_Flash @BitcoinQueen96 @rhenz_625 @ErenSollar @alexcopilla thank you for this huge chance  to win🙏🙏🍀 https://t.co/uRq6k4qV7Q,1
1,"@yvtweets I'm work this myself...great project plenty of possible holder 

#bitcoin",1
2,Forex just get good just slide me my DM📉📉 #forex #forexsignals #cryptocurrencies #bitcoins #investment https://t.co/VslEsCX13x,1
3,"We wish all HBN-Stakers a well day! We are thankful to have you onboard 
 😽 😜 🤪  #BTC #CryptoWhale",1
4,"#FARM : SHORT TERM SIGNAL:

Buy within 6mins max: 

Perfect to BUY under 2242

Target1: 2257 Target2: 2290

Let's GO!

You can see how it is go so up!

#BTC #Bitcoin #Crypto #BTC #биткойн #比特币 #비트코인

To Subscribe to our PREMIUM SIGNALS channel, PM ME! https://t.co/FnFW6spt7l",1
5,"People will throw gem at you. Don't throw them back. Collect them all and make an empire 💖
#Binance 
#BinanceNFT 
#bitcoinnews",1
6,"Sell me on how this is a well indicator of the force of the #Dollar ....

Nobody at the Fed cares about it.  They only see at other drunk on spending FIAT currency.

#Bitcoin https://t.co/r8xdDS22If",1
7,"#marketplace dynamic are change, and many #traditional #Trader can’t wrap their head around. 
Big boy use to dump, and marketplaces use to tank year ago, but these day, the dump are eat up by #Retail hence we will not see a massive correction. #bitcoins #dow #NYSE #btc #Cryptos",1
8,"In #Bitcoin parlance, the #PandoraPapers is on-chain analysis of an opaque monetary system. 

It was designed not to be transparent.

#Bitcoin on-chain transaction are 100% readable 24/7. https://t.co/rKusRYq929",1
9,One day ill wake up and I'll be able to give this happen!!💔💯 #Bitcoin @BitcoinMagazine @BTCTN @coinbase @CashApp https://t.co/Zb0rUIGgWb,1
10,@GovernorSunKing @TheEricNorris It should be importantly higher than that because illiquid supply would continue to HODL a important part of all issued #BTC so the extra 200% of new buyers would be buy from a small pool of liquid supply.,1
11,"hey guy. here is some nft which probably cost nothing but if you will purchase it. you will support me well to make nice nfts. thanks for the someone who will purchase it!

https://t.co/eVzO9bIa64

#opensea #DAO #BTC #Immutablex #Binance",1
12,Late longers begin to get warm 🤣🤣🤣 $btc #btc https://t.co/TrKZxNZbea,1
13,@SportsLine And love @Mike5754 and @JustinPerri8 ! Been a member since TN become a legal wagering nation and never miss the early edge! Thanks fellas!! You cool too @TheCoachrules but up that #Bitcoin game 🤣🤣💰💰,1
14,One day BTC ATMs machine will be everywhere.  $SANP https://t.co/CHE8IZyxlb,1
15,@Bitcoin Time to purchase more,1
16,"💲💲💲 FREE Bitcoins. 💲💲💲

Sign Up Bonus. Sign up Today and get 1000 GH/s for FREE. Up to 12% everyday Earnings. [December 27, 2021 at 10:01PM]

💰 Simple. Secure. Super Fast. 💰

👉 https://t.co/LOn8IlLncL",1
17,Viumu improve Helium setup with a 10 m antenna 📡🌎🏙 Hit us up for supporting or service regarding your Helium setup ✅ #helium #bobcat #rak #miner #mining #crypto #iot #blockchain #btc #eth #nft #viumu #switzerland #zurich https://t.co/KSLeGCPPh6,1
18,"CryptoTab Browser and begin use it. It doesn’t matter what you do: browse the Internet, check social media network, use streaming service; it work all the time and you get your Bitcoins. As simple as that! Check it out! https://t.co/IyHxEpRjuN #cryptotab",1
19,"Join Celsius Network use my referral code 193006c82e when sign up and earn $50 in BTC with your first transfer of $400 or more! #UnbankYourself 
 
https://t.co/weM8uQvoB9

Free sats!!!",1
20,@cz_binance #quack love #Bitcoin https://t.co/C2YFIQjNSh,1
